address,coin,spot_qty,spot_value,spot_entry,spot_avg_entry,spot_upnl,spot_upnl_pct,perp_long,perp_short,perp_long_upnl,perp_short_upnl,classification,hedge_ratio
0x856c35038594767646266bc7fd68dc26480e910d,HYPE,227001.43215172,14048778.133721722,9449809.2260603,41.62885289527323,4598968.907661423,48.66732012936911,0.0,21604261.083,0.0,-7428558.009454,spot_long_perp_short_hedge,1.5378035639371808
0x023a3d058020fb76cca98f01b3c48c8938a22355,USDH,3478077.19445159,3478598.9060307583,3478468.08696882,1.0001123875335065,130.8190619382076,0.003760823979621585,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,FXRP,1257650.715869,1700595.2979980619,1728360.44177049,1.3742769911884822,-27765.143772428157,-1.6064440669555142,0.0,0.0,0.0,0.0,spot_only,0.0
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,UBTC,17.7786657487,1371455.1651875924,1357802.29227,76372.56425551981,13652.872917592293,1.00551258421925,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,HYPE,20004.97566602,1238077.9365064788,1255915.37650801,62.78015017240334,-17837.44000153127,-1.4202740355904468,9307695.08364,0.0,145528.821131,0.0,spot_long_perp_long_amplified,7.517858778667681
0x023a3d058020fb76cca98f01b3c48c8938a22355,UBTC,12.2754831237,946936.9059037799,936082.59004934,76256.27281765117,10854.315854439861,1.1595468145463255,0.0,0.0,0.0,0.0,spot_only,0.0
0x31dea2516beee92135b96f464eeec3cf292a13f2,HYPE,12803.0,792358.4655,16590.27128877,1.2958112386760916,775768.19421123,4676.042848897532,0.0,0.0,0.0,0.0,spot_only,0.0
0x7c930969fcf3e5a5c78bcf2e1cefda3f53e3c8fd,HYPE,9000.06004439,557000.2160572305,526908.82486158,58.54503439563358,30091.391195650445,5.710929438988901,0.0,0.0,0.0,0.0,spot_only,0.0
0x31dea2516beee92135b96f464eeec3cf292a13f2,UBTC,5.1681707041,398675.272199626,391543.02191219,75760.46619388406,7132.250287436007,1.8215751241342597,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,UETH,187.773169495,395065.3599590052,396905.81553636,2113.7514832593206,-1840.45557735482,-0.46370083413056423,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,UENA,3259100.351768,322590.6414685243,592627.68902009,0.1818378156716165,-270037.04755156575,-45.56605311474259,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,USOL,3764.92803214,321475.9098803382,321861.48925574,85.48941347832157,-385.57937540183775,-0.1197966790911943,0.0,0.0,0.0,0.0,spot_only,0.0
0xf517639a8872e756ac98d3c65507d2ebc25cc032,PURR,2024490.15417,243151.38996658786,151920.941302,0.07504158071061823,91230.44866458786,60.051266061624155,438426.57756,0.0,176280.10029,0.0,spot_long_perp_long_amplified,1.8031012597552722
0xf517639a8872e756ac98d3c65507d2ebc25cc032,PIP,40187.0468996,161238.4695705751,554438.35239703,13.796444256832133,-393199.8828264549,-70.91859376728088,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,WMNT,215256.4066312,139928.50341264473,139867.29837663,0.6497706645092586,61.20503601472592,0.04375936099796183,0.0,0.0,0.0,0.0,spot_only,0.0
0xfc667adba8d4837586078f4fdcdc29804337ca06,HYPE,2176.3014564,134688.0326844114,113847.09047497,52.31218779005638,20840.94220944139,18.306082415012092,6137804.84621,0.0,246670.620022,0.0,spot_long_perp_long_amplified,45.57052860510287
0xf517639a8872e756ac98d3c65507d2ebc25cc032,KNTQ,681169.49039608,133607.9896937391,122697.70054011,0.18012800377886112,10910.289153629099,8.892007841713802,0.0,0.0,0.0,0.0,spot_only,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,USDE,131613.88729587,131507.93811659684,131502.01910083,0.9991500274223455,5.919015766849043,0.004501083563067272,0.0,0.0,0.0,0.0,spot_only,0.0
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,UBTC,1.5781498974,121739.27216038469,120994.17734101,76668.36815713625,745.0948193746881,0.6158104759658911,0.0,0.0,0.0,0.0,spot_only,0.0
0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,USDH,102588.98616858,102604.3745165053,102588.98616858,1.0,15.388347925298149,0.015000000000010867,0.0,0.0,0.0,0.0,spot_only,0.0
0x1c1c270b573d55b68b3d14722b5d5d401511bed0,HYPE,1600.76479509,99068.93202092746,99164.76943135,61.94836976395064,-95.83741042253678,-0.09664461579662453,89557.60408,0.0,-701.162573,0.0,spot_long_perp_long_amplified,0.9039928285598328
0x023a3d058020fb76cca98f01b3c48c8938a22355,UDZ,939237.55562235,98427.39964144416,91397.5861924,0.09731040421593755,7029.813449044159,7.6914651052663245,0.0,0.0,0.0,0.0,spot_only,0.0
0xdf9ea6ec3b7109935ccb4fb267e15ac1fb077ab1,PURR,654839.80088,78649.5342846924,191120.72613874,0.29185875061641686,-112471.19185404759,-58.848244314644106,0.0,0.0,0.0,0.0,spot_only,0.0
0xf517639a8872e756ac98d3c65507d2ebc25cc032,JEFF,17720.70096,71138.867968872,53311.94009553,3.008455490325593,17826.927873342,33.438902882539665,0.0,0.0,0.0,0.0,spot_only,0.0
0x31dea2516beee92135b96f464eeec3cf292a13f2,UETH,30.837583072,64880.7329043344,64707.97707375,2098.347880333843,172.75583058439952,0.26697764077449604,0.0,0.0,0.0,0.0,spot_only,0.0
0xf517639a8872e756ac98d3c65507d2ebc25cc032,USDH,58111.65910556,58120.37585442584,58111.65910556,1.0,8.716748865837872,0.01500000000000666,0.0,0.0,0.0,0.0,spot_only,0.0
