priority,monitor_lane,alert_lane,address,score,account_value,leverage_ratio,last_active_at,latest_trade_at,latest_trade_symbol,latest_trade_action,latest_trade_side,latest_trade_notional_usd,participant_activity_status,participant_posture,participant_risk_mode,participant_actions,open_positions,positions
A,pilot_core,clean_wallet_reactivation,0xbb9f0315243db63fc34c51f96ad5bb7ce6e275e2,94,49969.77,1,2026-05-20T12:56:40.866811+00:00,,,,,,recently_active_flat,flat,neutral,waiting,0,
A,pilot_core,clean_wallet_reactivation,0xf3362789cecf25c6a31288d172880d7ad9b81801,72,71668.4,1,2026-05-20T12:53:20.714632+00:00,,,,,,recently_active_flat,flat,neutral,waiting,0,
A,pilot_core,profitable_open_book_unwind,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,67,358443.74,9.36,2026-05-20T13:03:38.600281+00:00,,,,,,active_positioned,short_bias,risk_off,holding,1,"BTC S notional $3,352,866 uPnL $169,773 liq 84778.4836836567"
B,pilot_expanded,position_change_monitor,0x031f72deb03c509af42624ddcd1f63fce5ecb220,71,435240.19,0.5,2026-05-20T13:03:30.105994+00:00,,,,,,active_positioned,risk_on_long_bias,risk_on,holding,1,"ZEC L notional $216,087 uPnL $21,529 liq 0"
B,pilot_expanded,position_change_monitor,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,67,1286743.62,0.27,2026-05-20T13:04:11.959806+00:00,,,,,,active_positioned,risk_on_long_bias,risk_on,holding,1,"HYPE L notional $348,254 uPnL $11,141 liq 0"
B,pilot_expanded,position_change_monitor,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,61,24852.62,9.36,2026-05-20T13:02:18.874200+00:00,,,,,,active_positioned,long_bias,risk_on,holding,1,"BTC L notional $232,514 uPnL $-8,161 liq 3378.339676962"
B,pilot_expanded,position_change_monitor,0xa4add8273d7f47318675bdfbcce3e9648cdb4509,52,96325.37,5.07,2026-05-20T13:07:08.339529+00:00,,,,,,active_positioned,risk_on_long_bias,risk_on,holding,1,"SOL L notional $487,942 uPnL $180 liq 0"
